BranchID,expected_cust,market_share_%
1,1927464.3634224825,18.331652434027017
2,2039106.6287783608,19.393455310536428
3,1618001.102201047,15.388421392526093
4,1762431.4456472872,16.762063835534665
5,692584.0430793362,6.587001139953471
6,430312.60560466367,4.092600243938303
7,684252.5215737802,6.507762032146943
8,628459.6538124277,5.977129414751795
9,251309.60279730396,2.3901455089075307
10,65282.757608900065,0.6208886893743695
11,33789.319950644924,0.32136213829525817
12,10930.756683679734,0.10395981174475986
13,140400.74003640344,1.335317849019749
14,166478.38359354605,1.5833360780775068
15,63602.075210136776,0.6049041211661104
