FacilityID,ToBreak,Population_2021,Total_households,Median_income_2020_wavg,DAs_covered,Area_m2
1,5,49366.65111822802,25589.675272664754,136414.09718445153,74.0,4981015.0693864105
1,10,101681.06186185728,43135.901683673204,169014.367547425,218.0,20183705.099508367
1,15,216451.16298900882,98861.1219615241,129920.02327132535,438.0,48271437.85079466
2,5,48781.379375435296,17364.2165670872,87636.3867780457,96.0,12546434.23803705
2,10,261300.4192894944,91768.71831872128,90529.53960062627,503.0,71696985.20504193
2,15,490156.20364342915,178066.7195382664,102225.28260437372,911.0,146462148.9938513
3,5,29014.232618839393,12239.428143414652,119569.309261184,54.0,7751948.477336039
3,10,130432.54653331233,51413.20750506882,125133.93148232432,256.0,46921243.64672033
3,15,255111.29926771333,104945.93883534858,104511.56664612248,512.0,99998404.05468324
4,5,34972.65840513626,15444.50131477891,81024.67301707949,44.0,3922698.813917307
4,10,165067.01343168566,57805.05224569944,104248.07974870331,310.0,37053619.21995631
4,15,261992.53640876443,86133.9156603401,116083.154415917,524.0,134779677.093327
5,5,30765.27467299005,8438.741464881257,108535.53878575037,73.0,7809482.373946885
5,10,182154.3312641952,53848.62385913006,104347.67966880371,320.0,54927891.34759198
5,15,226615.51831020473,65003.51050307927,110273.21662072933,361.0,149006857.4628642
6,5,15464.422596656132,5052.476104676178,116481.28390277101,32.0,5962894.144646599
6,10,76591.91671053926,23097.663133242375,134929.58615048343,71.0,35299328.78175878
6,15,152676.44163933743,50660.32229055275,121626.3440088458,247.0,119674779.00450806
7,5,27751.118065830287,9211.583592284112,113195.1714501729,51.0,10361330.810316328
7,10,101743.35205544159,34046.028413459244,116049.5623035133,158.0,46674573.96030311
7,15,232441.74837334294,75886.57690844763,104011.81940092806,385.0,148208397.31400883
8,5,30066.773652733216,13844.25436632918,70346.09895735665,88.0,10064000.682665316
8,10,109439.1837795845,42072.01010992842,93245.15865779565,264.0,54780295.47856665
8,15,137357.62782440946,46891.3544807489,115939.78688476697,256.0,100849134.41561648
9,5,52453.3418148244,17952.124126821807,92586.8276983568,140.0,15655432.070206586
9,10,150483.75050504843,57440.33305015922,93048.2363530395,359.0,77391316.14610389
9,15,187628.53821359336,80063.22988323489,81650.77398301673,421.0,163217249.14605206
10,5,26108.435893664267,12681.299883408024,64123.163816939574,79.0,11255094.529746564
10,10,100592.68919949711,42087.19763086921,79438.7446777857,216.0,77941632.59583612
10,15,52457.97605414155,20317.881551389815,93010.25699177846,167.0,196512873.53761286
11,5,23211.247824607755,9070.67555895881,81396.77412438134,57.0,8228694.309145026
11,10,81401.3134003361,35926.302964440314,77159.14799704762,176.0,50060902.57781144
11,15,103583.780784788,46513.46456712263,80202.34576165033,207.0,140516121.91279307
12,5,39177.20249344203,18510.326621510205,55536.43096162393,98.0,11723307.593869653
12,10,68420.62582124474,28714.696617130918,68291.66580934646,192.0,37490088.78245862
12,15,104842.299739257,39788.55543878394,86822.13459898642,238.0,76108335.06944603
13,5,30672.410235733565,15628.877509161866,71591.05400135853,71.0,8726028.152471673
13,10,106801.82906442921,46408.42609829707,80730.41638398264,243.0,44543613.098552585
13,15,170165.94172935112,62258.554474325574,101443.35616599796,306.0,109127231.65166998
14,5,8015.748501012722,3316.341151318203,99513.69338167728,31.0,8370708.168864354
14,10,79597.21726526551,31771.205024089002,93957.15666500016,166.0,52037160.78818909
14,15,58780.91000378405,22419.750033056273,99703.32793496927,127.0,152730393.02409837
15,5,15319.713928537392,6992.865032693879,132541.34316693395,36.0,4538361.94402596
15,10,61107.17036093626,30151.9915196905,97694.68417387345,158.0,18047994.39109239
15,15,154109.16410720046,72823.15770133988,91805.68440542255,338.0,49883378.9452614
